纯英文标题: 165 篇
中英混杂标题: 247 篇
需要翻译总数: 412 篇

=== 纯英文标题 ===
2026-05-18-measurement-gdt-k3.md	MMC
2026-05-18-standards-ansi-k2.md	SAE
2026-05-18-standards-din-t4.md	iec
2026-05-18-mechanics-fatigue-t14.md	fatigue failure
2026-05-18-cad-cae-t9.md	half section
2026-05-18-mechatronics-automation-t8.md	scara robot
2026-05-18-mechanics-vibration-t11.md	proof test
2026-05-18-cad-software-t3.md	toolmakers microscope
2026-05-18-mechatronics-embed-t12.md	shaft encoder
2026-05-18-cad-software-k5.md	Inventor
2026-05-18-mechanics-elasticity-t17.md	fracture toughness test
2026-05-18-mechanics-fea-t2.md	fold test
2026-05-18-cad-software-t11.md	torque wrench
2026-05-18-mechanics-tribology-t15.md	galloseizing
2026-05-18-standards-din-t0.md	ce
2026-05-18-mechanics-fatigue-t10.md	scleroscope hardness test
2026-05-18-mechatronics-embed-t16.md	low speed
2026-05-18-standards-safety-t6.md	measurement system analysis
2026-05-18-cad-software-t7.md	tensile testing machine
2026-05-18-cad-cae-t13.md	removed section
2026-05-18-mechanics-fea-t6.md	ring expansion test
2026-05-18-mechanics-tribology-t11.md	fatigue crack
2026-05-18-mechanics-fatigue-t9.md	mohs hardness
2026-05-18-cad-software-k1.md	AutoCAD
2026-05-18-standards-din-t1.md	bs
2026-05-18-mechanics-fatigue-t11.md	scleroscope hardness
2026-05-18-design-methodology-k0.md	DFMA
2026-05-18-standards-safety-t7.md	gauge repeatability
2026-05-18-mechatronics-embed-t17.md	rated speed
2026-05-18-mechanics-vibration-t14.md	shock test
2026-05-18-cad-software-t6.md	universal testing machine
2026-05-18-mechanics-elasticity-t12.md	shear test
2026-05-18-mechanics-fea-t7.md	weldability test
2026-05-18-cad-software-t14.md	stroboscope
2026-05-18-mechanics-tribology-t10.md	elastic deformation
2026-05-18-mechanics-fatigue-t8.md	mohs hardness test
2026-05-18-cad-software-k0.md	SolidWorks
2026-05-18-standards-ansi-k3.md	ANSI
2026-05-18-standards-din-t5.md	nace
2026-05-18-cad-cae-t8.md	level gauge
2026-05-18-mechanics-vibration-t10.md	pneumatic test
2026-05-18-cad-software-t2.md	profile projector
2026-05-18-mechatronics-embed-t13.md	hollow shaft encoder
2026-05-18-cad-software-k4.md	Creo
2026-05-18-mechanics-fea-t3.md	flattening test
2026-05-18-mechanics-tribology-t14.md	rolling contact fatigue
2026-05-18-cad-software-t10.md	weighing scale
2026-05-18-cad-software-t9.md	scale
2026-05-18-cad-cae-t3.md	thermistor
2026-05-18-mechatronics-automation-t2.md	wankel engine
2026-05-18-standards-safety-t8.md	gauge reproducibility
2026-05-18-standards-ansi-t13.md	visual inspection
2026-05-18-mechanics-vibration-t9.md	hydrostatic test
2026-05-18-standards-safety-t16.md	foundation
2026-05-18-mechanics-tribology-t1.md	liquid metal embrittlement
2026-05-18-mechatronics-embed-t0.md	shape memory actuator
2026-05-18-mechatronics-automation-k4.md	MES
2026-05-18-standards-din-t14.md	kaizen
2026-05-18-mechanics-fea-t8.md	jominy end quench test
2026-05-18-mechatronics-automation-t17.md	thermal actuator
2026-05-18-standards-ansi-t17.md	ul
2026-05-18-cad-cae-t7.md	pitot tube
2026-05-18-standards-safety-t12.md	quality system
2026-05-18-mechanics-fea-t16.md	knoop hardness test
2026-05-18-measurement-quality-k3.md	FMEA
